Country,Life_Exp,GDP
Somalia,53.3,55.8
Burundi,55.5,137.9
Eritrea,60.7,194.6
Malawi,49.9,237.6
Liberia,57.5,246.3
Niger,57,259.9
Ethiopia,59.1,265.0
"Sierra Leone",46.1,271.6
Senegal,62.6,274.7
Guinea,56,279.5
Rwanda,59.3,300.1
Madagascar,62.7,314.2
Togo,56.7,317.1
Tajikistan,66.7,335.8
Afghanistan,54.5,340.1
"Central African Republic",48.5,363.0
Mozambique,53.4,365.1
Guinea-Bissau,55.4,384.4
Nepal,66.5,395.4
"Burkina Faso",55.6,410.5
Zimbabwe,50.5,411.1
Uganda,55.7,421.1
Haiti,59.9,434.4
Bangladesh,69.3,443.8
Cambodia,64.3,466.3
Chad,50.4,484.9
Mali,54.9,530.6
"Syrian Arab Republic",70.8,543.7
"South Sudan",53.9,546.2
Timor-Leste,64.8,551.9
Benin,57.6,561.3
Myanmar,64.2,616.3
Comoros,61.6,630.4
Mauritania,62.8,635.1
Uzbekistan,68,651.1
Pakistan,64.5,666.1
"Papua New Guinea",61.7,710.8
Kenya,57.5,716.8
"Sao Tome and Principe",65.2,722.9
Cameroon,54,781.0
Lesotho,48.8,794.6
"Solomon Islands",67.7,802.0
Zambia,53.9,811.8
Ghana,60.9,834.4
India,65.4,837.9
Djibouti,60.8,898.1
Nicaragua,73.4,958.0
"Sri Lanka",73.4,1040.3
Kiribati,65.1,1175.4
Sudan,61.8,1193.0
Bhutan,66.2,1354.2
Nigeria,51.4,1360.3
Philippines,67.6,1397.3
Honduras,73,1422.0
Ukraine,69.9,1577.4
Indonesia,67.6,1669.3
Guyana,65.6,1784.1
Jordan,73,1822.6
Morocco,72.2,1936.5
Angola,49,1975.2
Tonga,72.5,1981.6
Paraguay,73.1,1983.5
Mongolia,65.9,1984.8
Armenia,73.4,2000.0
Vanuatu,71.4,2000.3
Ecuador,74.7,2005.4
"Cabo Verde",72.5,2023.6
Albania,70.4,2119.8
Samoa,73.6,2121.7
Georgia,73.5,2158.4
Swaziland,51.3,2165.2
"Bosnia and Herzegovina",76,2245.1
China,74.3,2345.3
Guatemala,71.7,2366.0
Jamaica,74.3,2509.6
Turkmenistan,64.6,2511.7
"El Salvador",71.7,2517.9
Iraq,70.4,2656.9
Algeria,73.6,2847.8
Peru,73.7,2928.6
Fiji,68.7,2947.8
Namibia,60.4,3042.6
Tunisia,74.4,3044.3
Cuba,78,3180.5
Azerbaijan,70.7,3302.9
Colombia,73.3,3321.7
Libya,72.5,3448.8
Thailand,73.1,3494.9
"Dominican Republic",72.3,3509.7
Serbia,74,3674.5
Belarus,69.9,3811.4
Maldives,75.5,3818.4
Belize,69.3,3933.0
"Costa Rica",78.6,3957.2
Turkey,73.9,3984.1
Kazakhstan,66.8,4040.6
Romania,74.1,4258.9
Botswana,56,4498.4
Montenegro,74.5,4676.5
Lebanon,74.2,4696.3
Suriname,70.1,4781.3
"South Africa",57.5,4869.6
Malaysia,73.8,4905.0
Bulgaria,72.8,4939.1
Gabon,62.2,5179.3
Mexico,75.7,5179.4
Mauritius,72.7,5299.6
Panama,76.5,5417.8
Brazil,73.4,6143.3
Chile,79.4,6202.3
Grenada,73.3,6259.7
Seychelles,72.4,6496.4
"Russian Federation",67.8,6545.2
Poland,75.6,6792.6
Argentina,75.2,6998.6
Uruguay,76.1,7192.6
Oman,74.8,7621.3
"Trinidad and Tobago",71.1,7741.9
"Equatorial Guinea",55.3,7902.4
Latvia,73.7,7951.9
Estonia,74.9,8340.5
Hungary,73.8,8513.8
Lithuania,72.8,9007.5
Croatia,76.1,9056.9
"Antigua and Barbuda",75.1,9759.3
Malta,80.4,10115.0
"Saudi Arabia",73.5,10689.1
Bahrain,75.7,11191.2
Slovenia,79.7,11441.1
Portugal,80,11598.7
Barbados,74.4,12017.2
Cyprus,79.7,13899.1
"New Zealand",81.3,14775.6
Greece,81.2,16454.3
Belgium,80.7,16915.4
Spain,82.1,17093.6
Israel,81.3,18860.4
"Brunei Darussalam",76.5,19744.8
Italy,82.2,21234.8
"United Arab Emirates",75.7,22110.4
Germany,81.2,24337.8
Japan,82.5,24892.6
Finland,80.7,25268.6
France,82.2,26465.6
Norway,81.8,27435.1
Sweden,82.5,29334.9
Canada,81.7,29383.1
Iceland,82.4,30159.4
Kuwait,73.8,31914.4
Singapore,81.5,32790.3
Denmark,79.3,33067.6
Austria,81.5,33827.5
Ireland,80.2,33835.3
Australia,81.8,34637.6
Netherlands,81.1,34964.8
Qatar,77,40748.6
Luxembourg,80.8,53257.1
Switzerland,82.3,57363.1
